Company,Faculty,Major,Major Code,Company Address,Latitude,Longitude,Count
Foqcus Sdn Bhd,FCI,Software Engineering,TB08,"Lot 2-06, Cheras Plaza, No.11, Jalan Manis 1, Taman Segar, Cheras, 56100 Kuala Lumpur",3.0910685,101.7439312,1
Fresh Futures,FCI,Data Science,TB09,"Fresh Futures Sdn Bhd, 45, Jalan 14/20, Petaling Jaya, 46100 Selangor, Malaysia.",3.1107443,101.6352859,2
Frost & Sullivan,FCI,Data Science,TB09,"Suite C-11-02, Block C, Plaza Mont' Kiara 2 Jalan Kiara Mont Kiara, 50480 Kuala Lumpur - Malaysia",3.1656857,101.6519562,1
GITN Sdn. Berhad 199601007212 (379558-V),FCI,Information System,TB13,"Level 2, TM Complex Cyberjaya, 3300 Lingkaran Usahawan 1 Timur, 63000 Cyberjaya, Selangor",2.9303873,101.65686,1
GLOCO MALAYSIA BERHAD,FCI,Data Science,TB09,"A1-13A, Block A, Merchant Square No 1, Jalan Tropicana Selatan 1 PJU 3, 47400 Petaling Jaya Selangor Darul Ehsan Malaysia",3.1334099,101.5993507,1
GO2 GLOBAL SDN BHD,FCI,Software Engineering,TB08,"1st floor, 20 TinkerScape, RekaScape, Persiaran APEC, Cyber 8, 63000 Cyberjaya Selangor, Malaysia",2.9084846,101.6569612,1
Gaze Technology,FCI,Software Engineering,TB08,"Niketon Bridge, house 2, Road #5,Block D,Dhaka 1212.",23.8139607,90.429351,1
Generic Exception Sdn. Bhd.,FCI,Cybersecurity,TB10,"B-12-05, Menara B, Kompleks Atria Damansara, Jalan SS 22/23, Damansara Jaya, 47400 Petaling Jaya, Selangor, Malaysia",3.1269647,101.6174445,1
Generic Exception Sdn. Bhd.,FCI,Game Development,TB11,"B-12-05, Menara B, Kompleks Atria Damansara, Jalan SS 22/23, Damansara Jaya, 47400 Petaling Jaya, Selangor, Malaysia",3.1269647,101.6174445,1
Getronics Solution (M) Sdn. Bhd.,FCI,Software Engineering,TB08,"Plaza Sentral, Jalan Stesen Sentral 5, Kuala Lumpur Sentral, 50470 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur",3.1323673,101.6843387,1
Global Inventrix Solution,FCI,Game Development,TB11,"No 5-2, Jalan Metrowangsa, Seksyen, 2, Wangsa Maju, 53300 Kuala Lumpur",3.2052139,101.7359097,1
Global Software House Sdn. Bhd.,FCI,Software Engineering,TB08,"Unit 16-03, Tower B, Level 16, The Vertical II Business Suite, 8 Jalan Kerinchi, Bangsar South, 59200 Kuala Lumpur, Malaysia",3.1104542,101.6657394,1
GlobeOSS Sdn Bhd,FCI,Data Science,TB09,"Unit No 3B-08-01 Level B Tower 3B UOA Business Park Shah Alam, 1 jalan pengaturcaraan U1/51A seksyen U1, 40150 Selangor, Malaysia",3.0861206,101.5870617,2
